feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,target
-0.836,2.029,-0.385,0.042,-0.304,1.348,-2.144,1.297,-0.354,0.29,-0.499,0.614,-1.71,-0.032,-0.028,0.057,-0.433,0.571,-0.758,0.558,1.51,0.851,1.967,0.333,-0.223,1.336,-0.315,-0.861,-1.15,-1.967,-0.184,0.79,-0.929,0.861,-0.855,0.823,0.391,-1.511,-0.566,-0.921,-1.472,-0.768,0.243,1.87,-1.941,-0.395,-1.355,1.459,-1.596,-0.855,-11902.634
-1.817,0.138,0.44,0.525,0.745,0.216,0.128,-0.315,0.475,1.146,-1.427,-0.31,0.964,-0.224,1.748,1.244,0.054,-1.135,0.626,-2.558,0.458,-0.257,0.398,1.406,0.229,-1.211,-1.966,1.41,0.508,-0.862,1.2,-1.384,0.242,1.092,-0.054,-1.072,-0.979,-0.804,-0.198,-0.676,0.044,-0.582,-1.701,-0.777,3.092,-0.192,0.269,-0.692,1.035,0.004,-7821.481
0.804,-1.5,-0.528,0.462,1.636,-1.856,0.162,0.262,-0.216,-0.182,-0.906,-0.869,-1.751,1.075,-1.358,0.926,1.457,0.021,-1.708,0.892,0.017,-1.366,-1.155,0.686,0.223,0.808,-0.645,-1.805,-0.476,0.025,-0.502,0.238,-0.528,-0.401,-0.569,-0.285,-0.374,-0.105,1.056,-3.002,-1.183,-1.054,-0.206,-0.716,-0.002,-0.703,0.554,-0.134,0.128,-0.2,-15487.199
0.396,-0.6,-0.558,-0.432,-0.469,1.229,-0.243,1.212,0.339,1.215,-1.847,1.261,0.227,0.716,0.856,1.714,0.756,-1.183,-0.585,-0.061,0.071,-0.627,-1.175,-1.178,-0.324,0.561,0.277,0.221,1.139,0.911,1.046,-1.134,2.036,-1.248,0.2,0.232,0.118,-0.397,0.263,-0.758,1.409,-0.778,0.855,0.771,1.056,0.077,0.029,-0.684,0.886,-1.282,-6801.858
1.155,1.308,0.521,1.175,-0.051,0.377,1.451,-0.662,0.82,0.455,-1.351,0.546,0.372,-0.372,0.762,0.818,-1.837,-0.741,-0.11,0.755,-2.22,1.15,1.55,-0.709,-0.597,-1.128,1.134,0.445,0.704,1.438,-1.677,0.056,-2.067,0.413,1.379,0.603,1.613,-0.571,0.534,-1.691,0.007,-2.009,0.516,-0.258,-0.528,-1.418,0.62,0.484,0.414,0.039,-7025.618
0.432,0.155,0.947,-0.823,-0.543,-1.501,0.432,-0.676,-1.335,0.126,-0.443,0.714,1.976,0.162,-0.735,-0.14,-1.372,-0.049,1.605,1.096,-0.428,-0.694,0.079,-1.524,0.115,0.383,0.671,0.576,1.397,0.047,-0.17,0.441,-0.4,0.594,1.091,2.201,0.648,0.587,-1.016,-0.488,-0.014,-0.43,0.866,-0.605,0.214,0.753,-0.282,0.202,0.041,0.187,-9040.431
-0.4,0.511,-0.15,-0.104,-1.758,-1.448,-0.123,0.733,0.398,-1.052,1.201,-0.301,-0.196,0.114,-0.739,-1.87,-1.326,1.143,2.314,-0.008,0.677,2.074,-0.91,-0.245,-1.618,-0.446,0.768,-0.33,1.655,1.171,-1.175,-1.008,-0.578,-0.154,-0.911,1.426,0.449,-0.337,1.103,-1.145,-0.534,1.963,0.518,-0.391,-0.643,1.048,1.12,0.489,-0.253,-0.145,-9189.587
0.929,1.473,-0.712,0.915,0.261,2.673,-2.202,0.442,0.802,-0.04,-0.359,1.958,-1.438,0.55,-0.195,0.562,0.6,0.811,-0.675,0.392,0.107,0.05,0.598,-0.507,0.708,0.748,1.94,-0.89,-0.83,0.564,-0.25,-0.218,0.646,0.356,1.008,0.24,0.548,1.977,-1.239,-0.976,-0.001,2.334,1.384,-0.17,0.358,1.011,-0.437,-0.439,-0.526,1.449,-4088.626
2.317,0.02,0.714,-0.026,-0.253,0.537,-0.426,0.254,1.931,-0.972,0.86,-0.801,0.22,0.202,0.742,-0.78,0.119,0.397,0.367,-0.185,-1.145,0.741,0.351,0.17,-0.958,0.263,-2.926,-1.024,0.987,-0.137,-0.504,-0.365,-0.414,-0.261,0.077,-0.536,2.171,0.253,0.414,1.388,-0.16,-0.505,0.36,0.498,0.719,0.094,-0.497,0.391,-1.563,0.673,-17552.635
-0.498,2.111,-0.139,-0.178,0.425,-2.215,-0.143,0.997,0.755,1.225,-1.083,-0.074,-1.165,0.356,0.426,2.163,-0.406,1.001,-0.432,0.931,-0.887,-0.334,0.224,0.038,-0.025,0.648,-0.534,0.082,1.483,-0.318,2.139,0.076,1.453,0.612,2.295,0.367,0.212,0.499,-1.683,-0.986,-0.328,0.929,0.342,-0.068,0.384,-1.277,0.089,-1.127,0.506,0.839,-4390.394
