,person,occasion,sex,y,age
1,1,1,2,21,8
2,1,2,2,20,10
3,1,3,2,21.5,12
4,1,4,2,23,14
5,2,1,2,21,8
6,2,2,2,21.5,10
7,2,3,2,24,12
8,2,4,2,25.5,14
9,3,1,2,20.5,8
10,3,2,2,24,10
11,3,3,2,24.5,12
12,3,4,2,26,14
13,4,1,2,23.5,8
14,4,2,2,24.5,10
15,4,3,2,25,12
16,4,4,2,26.5,14
17,5,1,2,21.5,8
18,5,2,2,23,10
19,5,3,2,22.5,12
20,5,4,2,23.5,14
21,6,1,2,20,8
22,6,2,2,21,10
23,6,3,2,21,12
24,6,4,2,22.5,14
25,7,1,2,21.5,8
26,7,2,2,22.5,10
27,7,3,2,23,12
28,7,4,2,25,14
29,8,1,2,23,8
30,8,2,2,23,10
31,8,3,2,23.5,12
32,8,4,2,24,14
33,9,1,2,20,8
34,9,2,2,21,10
35,9,3,2,22,12
36,9,4,2,21.5,14
37,10,1,2,16.5,8
38,10,2,2,19,10
39,10,3,2,19,12
40,10,4,2,19.5,14
41,11,1,2,24.5,8
42,11,2,2,25,10
43,11,3,2,28,12
44,11,4,2,28,14
45,12,1,1,26,8
46,12,2,1,25,10
47,12,3,1,29,12
48,12,4,1,31,14
49,13,1,1,21.5,8
50,13,2,1,22.5,10
51,13,3,1,23,12
52,13,4,1,26.5,14
53,14,1,1,23,8
54,14,2,1,22.5,10
55,14,3,1,24,12
56,14,4,1,27.5,14
57,15,1,1,25.5,8
58,15,2,1,27.5,10
59,15,3,1,26.5,12
60,15,4,1,27,14
61,16,1,1,20,8
62,16,2,1,23.5,10
63,16,3,1,22.5,12
64,16,4,1,26,14
65,17,1,1,24.5,8
66,17,2,1,25.5,10
67,17,3,1,27,12
68,17,4,1,28.5,14
69,18,1,1,22,8
70,18,2,1,22,10
71,18,3,1,24.5,12
72,18,4,1,26.5,14
73,19,1,1,24,8
74,19,2,1,21.5,10
75,19,3,1,24.5,12
76,19,4,1,25.5,14
77,20,1,1,23,8
78,20,2,1,20.5,10
79,20,3,1,31,12
80,20,4,1,26,14
81,21,1,1,27.5,8
82,21,2,1,28,10
83,21,3,1,31,12
84,21,4,1,31.5,14
85,22,1,1,23,8
86,22,2,1,23,10
87,22,3,1,23.5,12
88,22,4,1,25,14
89,23,1,1,21.5,8
90,23,2,1,23.5,10
91,23,3,1,24,12
92,23,4,1,28,14
93,24,1,1,17,8
94,24,2,1,24.5,10
95,24,3,1,26,12
96,24,4,1,29.5,14
97,25,1,1,22.5,8
98,25,2,1,25.5,10
99,25,3,1,25.5,12
100,25,4,1,26,14
101,26,1,1,23,8
102,26,2,1,24.5,10
103,26,3,1,26,12
104,26,4,1,30,14
105,27,1,1,22,8
106,27,2,1,21.5,10
107,27,3,1,23.5,12
108,27,4,1,25,14
