"","seq","plant","leaf","acid"
"1",1,1,1,11.1999998092651
"2",2,1,1,11.6000003814697
"3",3,1,1,12
"4",4,1,2,16.5
"5",5,1,2,16.7999992370605
"6",6,1,2,16.1000003814697
"7",7,1,3,18.2999992370605
"8",8,1,3,18.7000007629395
"9",9,1,3,19
"10",10,2,1,14.1000003814697
"11",11,2,1,13.8000001907349
"12",12,2,1,14.1999998092651
"13",13,2,2,19
"14",14,2,2,18.5
"15",15,2,2,18.2000007629395
"16",16,2,3,11.8999996185303
"17",17,2,3,12.3999996185303
"18",18,2,3,12
"19",19,3,1,15.3000001907349
"20",20,3,1,15.8999996185303
"21",21,3,1,16
"22",22,3,2,19.5
"23",23,3,2,20.1000003814697
"24",24,3,2,19.2999992370605
"25",25,3,3,16.5
"26",26,3,3,17.2000007629395
"27",27,3,3,16.8999996185303
"28",28,4,1,7.30000019073486
"29",29,4,1,7.80000019073486
"30",30,4,1,7
"31",31,4,2,8.89999961853027
"32",32,4,2,9.39999961853027
"33",33,4,2,9.30000019073486
"34",34,4,3,11.3000001907349
"35",35,4,3,10.8999996185303
"36",36,4,3,10.5
