aliquot,Orion_old,Orion_new,replicate,log_old,log_new,id
4743,3.910000086,4.519999981,1,1.363537431,1.50851202,1
4744,3.019999981,3.039999962,1,1.105256796,1.111857533,2
4745,2.539999962,2.720000029,1,0.932164073,1.000631928,3
4746,4.429999828,4.71999979,1,1.488399506,1.551808715,4
4747,3.680000067,4.230000019,1,1.302912712,1.442201972,5
4748,5.309999943,6.260000229,1,1.669591784,1.834180236,6
4749,3.49000001,4.579999924,1,1.249901772,1.521698952,7
4750,3.470000029,3.589999914,1,1.244154572,1.278152227,8
4751,4.619999886,4.420000076,1,1.530394673,1.486139655,9
4752,4.489999771,5.28000021,1,1.501852632,1.663926125,10
4753,3.50999999,3.789999962,1,1.255616069,1.33236599,11
4754,2.789999962,3.049999952,1,1.026041627,1.11514163,12
4755,4.03000021,4.679999828,1,1.393766403,1.543298125,13
4756,5.21999979,5.670000076,1,1.652497411,1.73518908,14
4757,4.150000095,4.960000038,1,1.423108339,1.60140574,15
4758,3.529999971,3.859999895,1,1.261297822,1.350667119,16
4759,2.440000057,3.170000076,1,0.891998053,1.153731585,17
4760,3.339999914,4.170000076,1,1.205970764,1.42791605,18
4761,3.519999981,3.609999895,1,1.258460999,1.283707738,19
4762,5.889999866,6.630000114,1,1.773255944,1.891604781,20
4763,3.470000029,3.910000086,1,1.244154572,1.363537431,21
4764,3.099999905,3.670000076,1,1.131402135,1.300191641,22
4765,3.890000105,4.309999943,1,1.358409166,1.460937858,23
4766,2.519999981,2.480000019,1,0.924258888,0.908258557,24
4767,4.119999886,4.630000114,1,1.415853143,1.532556891,25
4768,4.480000019,5.179999828,1,1.49962306,1.644805074,26
4769,2.25,2.450000048,1,0.810930192,0.896088064,27
4770,4.320000172,4.449999809,1,1.463255405,1.492904067,28
4771,3.99000001,3.970000029,1,1.383791208,1.37876606,29
4772,2.440000057,2.339999914,1,0.891998053,0.850150883,30
4773,2.970000029,2.960000038,1,1.088562012,1.085189223,31
4774,4.440000057,4.809999943,1,1.490654349,1.570697069,32
4775,3.109999895,3.140000105,1,1.134622693,1.144222856,33
4776,3.650000095,3.470000029,1,1.294727206,1.244154572,34
4777,5.579999924,6.010000229,1,1.719188809,1.793424845,35
4778,6.269999981,6.610000134,1,1.835776329,1.88858366,36
4743,4.239999771,4.460000038,2,1.44456327,1.495148778,37
4744,3.049999952,3.119999886,2,1.11514163,1.137832999,38
4745,2.710000038,3.00999999,2,0.996948659,1.101940036,39
4746,4.539999962,4.880000114,2,1.512927055,1.585145235,40
4747,3.609999895,4.489999771,2,1.283707738,1.501852632,41
4748,5.670000076,6.659999847,2,1.73518908,1.896119475,42
4749,3.75999999,4.610000134,2,1.324418902,1.528227925,43
4750,3.410000086,3.74000001,2,1.226712346,1.319085598,44
4751,4.260000229,4.400000095,2,1.449269176,1.481604576,45
4752,4.809999943,5.199999809,2,1.570697069,1.648658633,46
4753,3.5,3.779999971,2,1.252762914,1.329723954,47
4754,2.880000114,3.210000038,2,1.057790279,1.166270971,48
4755,4.230000019,4.360000134,2,1.442201972,1.472472072,49
4756,5.489999771,6.050000191,2,1.702928185,1.800058246,50
4757,4.090000153,4.800000191,2,1.408545017,1.568615913,51
4758,3.619999886,4.130000114,2,1.286473989,1.418277383,52
4759,2.579999924,3.019999981,2,0.947789371,1.105256796,53
4760,3.519999981,3.950000048,2,1.258460999,1.373715639,54
4761,3.650000095,3.559999943,2,1.294727206,1.269760489,55
4762,6.320000172,6.989999771,2,1.843719244,1.944480538,56
4763,3.599999905,3.819999933,2,1.280933857,1.340250373,57
4764,3.50999999,3.410000086,2,1.255616069,1.226712346,58
4765,3.920000076,3.869999886,2,1.366091728,1.353254437,59
4766,2.299999952,2.339999914,2,0.832909107,0.850150883,60
4767,4.260000229,5.059999943,2,1.449269176,1.621366501,61
4768,4.360000134,5.559999943,2,1.472472072,1.715598106,62
4769,2.380000114,2.49000001,2,0.867100537,0.912282705,63
4770,4.559999943,4.389999866,2,1.517322659,1.479329228,64
4771,4.099999905,4.320000172,2,1.4109869,1.463255405,65
4772,2.690000057,2.49000001,2,0.989541233,0.912282705,66
4773,2.930000067,3.140000105,2,1.075002432,1.144222856,67
4774,4.670000076,4.690000057,2,1.541159034,1.545432568,68
4775,3.190000057,3.190000057,2,1.160020947,1.160020947,69
4776,3.75999999,3.369999886,2,1.324418902,1.214912653,70
4777,5.760000229,5.920000076,2,1.750937462,1.778336406,71
4778,6.46999979,6.679999828,2,1.867176056,1.899117947,72
4743,4.170000076,4.5,3,1.42791605,1.504077435,73
4744,2.829999924,3.180000067,3,1.040276647,1.156881213,74
4745,2.569999933,2.609999895,3,0.94390589,0.959350169,75
4746,4.619999886,4.429999828,3,1.530394673,1.488399506,76
4747,3.460000038,4.070000172,3,1.241268635,1.403643012,77
4748,5.539999962,5.75,3,1.711994529,1.749199867,78
4749,3.640000105,4.53000021,3,1.291983724,1.510722041,79
4750,3.25999999,3.650000095,3,1.181727171,1.294727206,80
4751,4.369999886,4.28000021,3,1.474763036,1.453953028,81
4752,4.480000019,5.139999866,3,1.49962306,1.637053013,82
4753,3.50999999,4.630000114,3,1.255616069,1.532556891,83
4754,2.670000076,3.140000105,3,0.982078493,1.144222856,84
4755,4.25,4.170000076,3,1.446918964,1.42791605,85
4756,5.480000019,5.889999866,3,1.701105118,1.773255944,86
4757,4.190000057,4.550000191,3,1.432700753,1.515127301,87
4758,3.559999943,4,3,1.269760489,1.386294365,88
4759,2.539999962,3.029999971,3,0.932164073,1.108562589,89
4760,3.579999924,3.829999924,3,1.27536273,1.342864752,90
4761,3.799999952,3.309999943,3,1.335001111,1.196948171,91
4762,6.199999809,6.210000038,3,1.824549317,1.826160908,92
4763,3.450000048,3.779999971,3,1.238374233,1.329723954,93
