"","pig","compound","ration","sex","treat","week","weight","week_2"
"1",1,1,1,1,1,1,25,1
"2",1,1,1,1,1,2,30,4
"3",1,1,1,1,1,3,36,9
"4",1,1,1,1,1,4,43,16
"5",1,1,1,1,1,5,49,25
"6",1,1,1,1,1,6,55,36
"7",1,1,1,1,1,7,61,49
"8",1,1,1,1,1,8,67,64
"9",1,1,1,1,1,9,72,81
"10",2,1,1,2,2,1,23,1
"11",2,1,1,2,2,2,29,4
"12",2,1,1,2,2,3,37,9
"13",2,1,1,2,2,4,43,16
"14",2,1,1,2,2,5,49,25
"15",2,1,1,2,2,6,55,36
"16",2,1,1,2,2,7,62,49
"17",2,1,1,2,2,8,69,64
"18",2,1,1,2,2,9,75,81
"19",3,1,2,1,3,1,24,1
"20",3,1,2,1,3,2,30,4
"21",3,1,2,1,3,3,36,9
"22",3,1,2,1,3,4,43,16
"23",3,1,2,1,3,5,50,25
"24",3,1,2,1,3,6,56,36
"25",3,1,2,1,3,7,61,49
"26",3,1,2,1,3,8,66,64
"27",3,1,2,1,3,9,72,81
"28",4,1,2,2,4,1,22,1
"29",4,1,2,2,4,2,28,4
"30",4,1,2,2,4,3,36,9
"31",4,1,2,2,4,4,43,16
"32",4,1,2,2,4,5,49,25
"33",4,1,2,2,4,6,55,36
"34",4,1,2,2,4,7,61,49
"35",4,1,2,2,4,8,67,64
"36",4,1,2,2,4,9,71,81
"37",5,2,1,1,5,1,25,1
"38",5,2,1,1,5,2,30,4
"39",5,2,1,1,5,3,36,9
"40",5,2,1,1,5,4,41,16
"41",5,2,1,1,5,5,47,25
"42",5,2,1,1,5,6,53,36
"43",5,2,1,1,5,7,58,49
"44",5,2,1,1,5,8,64,64
"45",5,2,1,1,5,9,70,81
"46",6,2,1,2,6,1,25,1
"47",6,2,1,2,6,2,30,4
"48",6,2,1,2,6,3,37,9
"49",6,2,1,2,6,4,43,16
"50",6,2,1,2,6,5,49,25
"51",6,2,1,2,6,6,55,36
"52",6,2,1,2,6,7,61,49
"53",6,2,1,2,6,8,66,64
"54",6,2,1,2,6,9,71,81
"55",7,2,2,1,7,1,24,1
"56",7,2,2,1,7,2,30,4
"57",7,2,2,1,7,3,36,9
"58",7,2,2,1,7,4,41,16
"59",7,2,2,1,7,5,47,25
"60",7,2,2,1,7,6,53,36
"61",7,2,2,1,7,7,59,49
"62",7,2,2,1,7,8,64,64
"63",7,2,2,1,7,9,70,81
"64",8,2,2,2,8,1,25,1
"65",8,2,2,2,8,2,30,4
"66",8,2,2,2,8,3,37,9
"67",8,2,2,2,8,4,42,16
"68",8,2,2,2,8,5,49,25
